Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2021-08-10,25.6,16.2,22.5625,74.04166666666667,30.125,0.0,7.1,220.75,0.0
2021-08-11,28.8,17.9,24.974999999999998,65.375,8.958333333333334,0.1,8.4,233.08333333333334,0.0
2021-08-12,28.3,20.9,25.895833333333332,71.20833333333333,40.375,0.5,7.4,197.66666666666666,0.0
2021-08-13,29.8,20.1,25.5125,66.45833333333333,48.041666666666664,0.0,8.2,234.875,2.0
2021-08-14,29.3,21.5,26.3625,66.08333333333333,10.625,0.0,7.1,229.08333333333334,0.0
2021-08-15,29.1,21.9,26.3125,68.5,16.833333333333332,0.1,7.3,230.41666666666666,0.0
2021-08-16,27.4,17.9,23.325,71.125,23.75,3.4,8.4,215.20833333333334,0.0
2021-08-17,25.4,16.1,21.279166666666665,57.916666666666664,49.958333333333336,0.0,12.4,223.54166666666666,2.0
2021-08-18,23.9,15.6,20.754166666666666,70.33333333333333,31.875,0.30000000000000004,10.0,214.70833333333334,0.0
2021-08-19,23.1,17.9,20.375,83.875,71.83333333333333,1.0,9.0,198.45833333333334,51.0
2021-08-20,24.5,17.2,20.825,83.375,43.916666666666664,1.6,7.6,225.41666666666666,1.0
2021-08-21,26.1,18.6,22.675,73.83333333333333,28.208333333333332,0.2,8.2,229.25,0.0
2021-08-22,25.9,20.3,23.458333333333332,74.54166666666667,54.25,13.1,6.9,226.75,2.0
2021-08-23,25.4,15.3,21.116666666666667,67.625,38.583333333333336,2.1,9.4,206.125,0.0
2021-08-24,22.8,16.7,19.3875,86.79166666666667,79.0,12.4,6.5,208.41666666666666,51.0
2021-08-25,22.3,16.3,18.941666666666666,88.79166666666667,51.958333333333336,7.4,7.4,191.45833333333334,51.0
2021-08-26,26.1,14.8,21.516666666666666,68.95833333333333,8.875,0.0,8.7,227.79166666666666,0.0
2021-08-27,22.3,13.5,18.2625,77.79166666666667,55.333333333333336,7.3,10.9,186.16666666666666,0.0
2021-08-28,20.3,15.0,17.233333333333334,82.16666666666667,57.041666666666664,9.3,7.1,159.70833333333334,1.0
2021-08-29,21.7,10.5,16.441666666666666,76.04166666666667,21.375,0.7,8.2,235.54166666666666,0.0
2021-08-30,22.2,12.0,17.466666666666665,81.375,25.375,0.6000000000000001,7.8,235.5,0.0
2021-08-31,21.8,14.6,18.158333333333335,87.66666666666667,64.5,14.3,8.1,194.625,51.0
2021-09-01,23.4,15.4,19.570833333333333,71.125,44.583333333333336,0.9,8.1,215.70833333333334,2.0
2021-09-02,22.3,17.2,19.791666666666668,82.54166666666667,55.125,5.1,8.2,208.83333333333334,51.0
2021-09-03,21.7,16.1,18.8,86.125,92.41666666666667,3.8,6.5,175.54166666666666,51.0
2021-09-04,23.0,14.8,18.591666666666665,82.58333333333333,67.875,1.7999999999999998,6.8,233.29166666666666,3.0
2021-09-05,23.2,16.2,19.179166666666667,83.45833333333333,41.333333333333336,13.1,7.1,233.95833333333334,51.0
2021-09-06,22.7,16.0,19.216666666666665,85.0,58.166666666666664,14.4,7.7,220.45833333333334,1.0
2021-09-07,24.0,16.1,20.070833333333333,77.25,49.791666666666664,0.4,7.4,223.0,1.0
2021-09-08,21.3,17.7,18.983333333333334,83.54166666666667,95.5,4.0,8.3,215.0,51.0
2021-09-09,20.9,16.2,18.341666666666665,86.04166666666667,79.375,2.4,6.9,226.625,51.0
2021-09-10,21.0,15.9,18.245833333333334,83.08333333333333,84.45833333333333,0.9,7.1,241.41666666666666,3.0
2021-09-11,23.7,14.7,19.333333333333332,76.875,19.041666666666668,0.6,5.1,230.0,0.0
2021-09-12,23.9,15.0,19.783333333333335,75.04166666666667,31.75,1.0,6.6,229.0,1.0
2021-09-13,24.4,15.7,19.966666666666665,78.83333333333333,38.166666666666664,0.5,6.9,234.33333333333334,0.0
2021-09-14,22.9,17.0,20.433333333333334,80.04166666666667,88.58333333333333,1.9,7.4,229.79166666666666,3.0
2021-09-15,22.0,16.8,19.7,90.25,97.5,8.9,6.8,221.875,51.0
2021-09-16,22.4,16.6,19.495833333333334,88.16666666666667,95.83333333333333,8.7,7.2,212.08333333333334,3.0
2021-09-17,23.9,15.9,19.599999999999998,80.70833333333333,48.916666666666664,2.0999999999999996,6.9,236.875,1.0
2021-09-18,21.8,16.4,18.908333333333335,87.41666666666667,74.58333333333333,6.6000000000000005,7.1,227.5,51.0
2021-09-19,21.1,12.8,17.470833333333335,71.875,42.916666666666664,22.4,7.1,242.16666666666666,0.0
2021-09-20,19.6,11.6,15.783333333333333,69.66666666666667,54.791666666666664,1.8,9.7,218.16666666666666,0.0
2021-09-21,18.7,11.1,15.341666666666667,83.79166666666667,34.0,0.7000000000000001,7.7,220.75,0.0
2021-09-22,22.0,11.8,16.533333333333335,82.58333333333333,20.708333333333332,0.0,6.0,221.5,0.0
2021-09-23,20.5,14.0,16.775000000000002,93.0,87.0,1.4000000000000001,6.5,188.875,3.0
2021-09-24,23.1,12.2,18.308333333333334,76.25,2.7083333333333335,0.0,6.4,235.875,0.0
2021-09-25,20.7,14.5,17.875,92.75,74.54166666666667,6.8,9.5,213.58333333333334,1.0
2021-09-26,20.5,15.8,17.604166666666668,91.91666666666667,85.625,3.9000000000000004,7.6,242.08333333333334,51.0
2021-09-27,22.1,12.3,17.537499999999998,78.58333333333333,50.75,0.0,7.0,244.54166666666666,3.0
2021-09-28,22.0,13.3,18.958333333333332,72.45833333333333,65.58333333333333,0.1,8.2,226.54166666666666,3.0
2021-09-29,22.4,11.0,16.829166666666666,69.125,24.458333333333332,0.1,8.4,239.75,0.0
